Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
241,"S. Curry, A. Krist, D. Owens, M. Barry, A. Caughey, K. Davidson, Chyke A Doubeni, J. Epling, D. Grossman, A. Kemper, Martha Y. Kubik, A. Kurth, C. Landefeld, C. Mangione, Michael Silverstein, M. Simon, Chien-Wen Tseng, J. Wong","Screening for Intimate Partner Violence, Elder Abuse, and Abuse of Vulnerable Adults: US Preventive Services Task Force Final Recommendation Statement",2018,"","","","",11,"2024-06-21 14:48:46","","10.1001/jama.2018.14741","","",,,,,241,40.17,24,18,6,"Importance Intimate partner violence (IPV) and abuse of older or vulnerable adults are common in the United States but often remain undetected. In addition to the immediate effects of IPV, such as injury and death, there are other health consequences, many with long-term effects, including development of mental health conditions such as depression, posttraumatic stress disorder, anxiety disorders, substance abuse, and suicidal behavior; sexually transmitted infections; unintended pregnancy; and chronic pain and other disabilities. Long-term negative health effects from elder abuse include death, higher risk of nursing home placement, and adverse psychological consequences. Objective To update the US Preventive Services Task Force (USPSTF) 2013 recommendation on screening for IPV, elder abuse, and abuse of vulnerable adults. Evidence Review The USPSTF commissioned a review of the evidence on screening for IPV in adolescents, women, and men; for elder abuse; and for abuse of vulnerable adults. Findings The USPSTF concludes with moderate certainty that screening for IPV in women of reproductive age and providing or referring women who screen positive to ongoing support services has a moderate net benefit. There is adequate evidence that available screening instruments can identify IPV in women. The evidence does not support the effectiveness of brief interventions or the provision of information about referral options in the absence of ongoing supportive intervention components. The evidence demonstrating benefit of ongoing support services is predominantly found in studies of pregnant or postpartum women. The benefits and harms of screening for elder abuse and abuse of vulnerable adults are uncertain, and the balance of benefits and harms cannot be determined. Conclusions and Recommendation The USPSTF recommends that clinicians screen for IPV in women of reproductive age and provide or refer women who screen positive to ongoing support services. (B recommendation) The USPSTF concludes that the current evidence is insufficient to assess the balance of benefits and harms of screening for abuse and neglect in all older or vulnerable adults. (I statement)","",""
286,"Seulbae Kim, Seunghoon Woo, Heejo Lee, Hakjoo Oh","VUDDY: A Scalable Approach for Vulnerable Code Clone Discovery",2017,"","","","",12,"2024-06-21 14:48:46","","10.1109/SP.2017.62","","",,,,,286,40.86,72,4,7,"The ecosystem of open source software (OSS) has been growing considerably in size. In addition, code clones - code fragments that are copied and pasted within or between software systems - are also proliferating. Although code cloning may expedite the process of software development, it often critically affects the security of software because vulnerabilities and bugs can easily be propagated through code clones. These vulnerable code clones are increasing in conjunction with the growth of OSS, potentially contaminating many systems. Although researchers have attempted to detect code clones for decades, most of these attempts fail to scale to the size of the ever-growing OSS code base. The lack of scalability prevents software developers from readily managing code clones and associated vulnerabilities. Moreover, most existing clone detection techniques focus overly on merely detecting clones and this impairs their ability to accurately find ""vulnerable"" clones. In this paper, we propose VUDDY, an approach for the scalable detection of vulnerable code clones, which is capable of detecting security vulnerabilities in large software programs efficiently and accurately. Its extreme scalability is achieved by leveraging function-level granularity and a length-filtering technique that reduces the number of signature comparisons. This efficient design enables VUDDY to preprocess a billion lines of code in 14 hour and 17 minutes, after which it requires a few seconds to identify code clones. In addition, we designed a security-aware abstraction technique that renders VUDDY resilient to common modifications in cloned code, while preserving the vulnerable conditions even after the abstraction is applied. This extends the scope of VUDDY to identifying variants of known vulnerabilities, with high accuracy. In this study, we describe its principles and evaluate its efficacy and effectiveness by comparing it with existing mechanisms and presenting the vulnerabilities it detected. VUDDY outperformed four state-of-the-art code clone detection techniques in terms of both scalability and accuracy, and proved its effectiveness by detecting zero-day vulnerabilities in widely used software systems, such as Apache HTTPD and Ubuntu OS Distribution.","",""
132,"C. Kuran, Claudia Morsut, Bjørn Ivar Kruke, Marco Krüger, Lisa Segnestam, Kati Orru, Tor-Olav Nævestad, Merja Airola, J. Keränen, Friedrich Gabel, Sten Hansson, Sten Torpan","Vulnerability and vulnerable groups from an intersectionality perspective",2020,"","","","",13,"2024-06-21 14:48:46","","10.1016/j.ijdrr.2020.101826","","",,,,,132,33.00,13,12,4,"","",""
140,"Jiah Pearson-Leary, Chunyu Zhao, K. Bittinger, D. Eacret, Sandra Luz, Abigail S Vigderman, G. Dayanim, S. Bhatnagar","The gut microbiome regulates the increases in depressive-type behaviors and in inflammatory processes in the ventral hippocampus of stress vulnerable rats",2019,"","","","",14,"2024-06-21 14:48:46","","10.1038/s41380-019-0380-x","","",,,,,140,28.00,18,8,5,"","",""
139,"Lisa V. Grossman, R. M. Creber, Natalie C. Benda, D. Wright, D. Vawdrey, J. Ancker","Interventions to increase patient portal use in vulnerable populations: a systematic review",2019,"","","","",15,"2024-06-21 14:48:46","","10.1093/jamia/ocz023","","",,,,,139,27.80,23,6,5,"BACKGROUND More than 100 studies document disparities in patient portal use among vulnerable populations. Developing and testing strategies to reduce disparities in use is essential to ensure portals benefit all populations.   OBJECTIVE To systematically review the impact of interventions designed to: (1) increase portal use or predictors of use in vulnerable patient populations, or (2) reduce disparities in use.   MATERIALS AND METHODS A librarian searched Ovid MEDLINE, EMBASE, CINAHL, and Cochrane Reviews for studies published before September 1, 2018. Two reviewers independently selected English-language research articles that evaluated any interventions designed to impact an eligible outcome. One reviewer extracted data and categorized interventions, then another assessed accuracy. Two reviewers independently assessed risk of bias.   RESULTS Out of 18 included studies, 15 (83%) assessed an intervention's impact on portal use, 7 (39%) on predictors of use, and 1 (6%) on disparities in use. Most interventions studied focused on the individual (13 out of 26, 50%), as opposed to facilitating conditions, such as the tool, task, environment, or organization (SEIPS model). Twelve studies (67%) reported a statistically significant increase in portal use or predictors of use, or reduced disparities. Five studies (28%) had high or unclear risk of bias.   CONCLUSION Individually focused interventions have the most evidence for increasing portal use in vulnerable populations. Interventions affecting other system elements (tool, task, environment, organization) have not been sufficiently studied to draw conclusions. Given the well-established evidence for disparities in use and the limited research on effective interventions, research should move beyond identifying disparities to systematically addressing them at multiple levels.","",""
2319,"E. Werner, Ruth S. Smith","Vulnerable but Invincible: A Longitudinal Study of Resilient Children and Youth",1989,"","","","",16,"2024-06-21 14:48:46","","","","",,,,,2319,66.26,1160,2,35,"","",""
247,"Yang Yang, T. Nishikawa, A. Motter","Small vulnerable sets determine large network cascades in power grids",2017,"","","","",17,"2024-06-21 14:48:46","","10.1126/science.aan3184","","",,,,,247,35.29,82,3,7,"The domino effect in power failure Sometimes a power failure can be fairly local, but other times, a seemingly identical initial failure can cascade to cause a massive and costly breakdown in the system. Yang et al. built a model for the North American power grid network based on samples of data covering the years 2008 to 2013 (see the Perspective by D'Souza). Although the observed cascades were widespread, a small fraction of all network components, particularly the ones that were most cohesive within the network, were vulnerable to cascading failures. Larger cascades were associated with concurrent triggering events that were geographically closer to each other and closer to the set of vulnerable components. Science, this issue p. eaan3184; see also p. 860 Cascading failures in the U.S. power grid are most likely to occur within cohesive parts of the grid. INTRODUCTION Cascading failures in power grids are inherently network processes, in which an initially small perturbation leads to a sequence of failures that spread through the connections between system components. An unresolved problem in preventing major blackouts has been to distinguish disturbances that cause large cascades from seemingly identical ones that have only mild effects. Modeling and analyzing such processes are challenging when the system is large and its operating condition varies widely across different years, seasons, and power demand levels. RATIONALE Multicondition analysis of cascade vulnerability is needed to answer several key questions: Under what conditions would an initial disturbance remain localized rather than cascade through the network? Which network components are most vulnerable to failures across various conditions? What is the role of the network structure in determining component vulnerability and cascade sizes? To address these questions and differentiate cascading-causing disturbances, we formulated an electrical-circuit network representation of the U.S.–South Canada power grid—a large-scale network with more than 100,000 transmission lines—for a wide range of operating conditions. We simulated cascades in this system by means of a dynamical model that accounts for transmission line failures due to overloads and the resulting power flow reconfigurations. RESULTS To quantify cascade vulnerability, we estimated the probability that each transmission line fails in a cascade. Aggregating the results from multiple conditions into a single network representation, we created a systemwide vulnerability map, which exhibits relatively homogeneous geographical distribution of power outages but highly heterogeneous distribution of the underlying overload failures. Topological analysis of the network representation revealed that the transmission lines vulnerable to overload failures tend to occupy the network’s core, characterized by links between highly connected nodes. We found that only a small fraction of the transmission lines in the network (well below 1% on average) are vulnerable under a given condition. When measured in terms of node-to-node distance and geographical distance, individual cascades often propagate far from the triggering failures, but the set of lines vulnerable to these cascades tend to be limited to the region in which the cascades are triggered. Moreover, large cascades are disproportionately more likely to be triggered by initial failures close to the vulnerable set. CONCLUSION Our results imply that the same disturbance in a given power grid can lead to disparate outcomes under different conditions—ranging from no damage to a large-scale cascade. The association between large cascades and the triggering failures’ proximity to the vulnerable set indicates that the topological and geographical properties of the vulnerable set is a major factor determining whether the failures spread widely. Because the vulnerable set is small, failures would often repeat on the same lines in the absence of interventions. Although the power grid represents a complex system in which changes can have unanticipated effects, our analysis suggests failure-based allocation of resources as a strategy in upgrading the system for improved resilience against large cascades. Cascade-resistant portion of the U.S.–South Canada power grid. The network is visualized on a cartogram that equalizes the density of nodes. (Top) Power lines that never underwent outage in our simulations under any grid condition are shown in green, whereas all the other lines—whose vulnerability varies widely—are in gray. (Bottom) Spreading of a cascade triggered by three failures at time t = 0 (arrows), which resulted in 254 failures at t = 100 (the end of the cascade in linearly rescaled time). The understanding of cascading failures in complex systems has been hindered by the lack of realistic large-scale modeling and analysis that can account for variable system conditions. Using the North American power grid, we identified, quantified, and analyzed the set of network components that are vulnerable to cascading failures under any out of multiple conditions. We show that the vulnerable set consists of a small but topologically central portion of the network and that large cascades are disproportionately more likely to be triggered by initial failures close to this set. These results elucidate aspects of the origins and causes of cascading failures relevant for grid design and operation and demonstrate vulnerability analysis methods that are applicable to a wider class of cascade-prone networks.","",""
156,"Joshua D. Miller, D. Lynam, Colin E. Vize, Michael L. Crowe, Chelsea E. Sleep, J. Maples-Keller, L. Few, W. K. Campbell","Vulnerable Narcissism Is (Mostly) a Disorder of Neuroticism.",2018,"","","","",18,"2024-06-21 14:48:46","","10.1111/jopy.12303","","",,,,,156,26.00,20,8,6,"OBJECTIVE Increasing attention has been paid to the distinction between the dimensions of narcissistic grandiosity and vulnerability. We examine the degree to which basic traits underlie vulnerable narcissism, with a particular emphasis on the importance of Neuroticism and Agreeableness.   METHOD Across four samples (undergraduate, online community, clinical-community), we conduct dominance analyses to partition the variance predicted in vulnerable narcissism by the Five-Factor Model personality domains, as well as compare the empirical profiles generated by vulnerable narcissism and Neuroticism.   RESULTS These analyses demonstrate that the lion's share of variance is explained by Neuroticism (65%) and Agreeableness (19%). Similarity analyses were also conducted in which the extent to which vulnerable narcissism and Neuroticism share similar empirical networks was tested using an array of criteria, including self-, informant, and thin slice ratings of personality; interview-based ratings of personality disorder and pathological traits; and self-ratings of adverse events and functional outcomes. The empirical correlates of vulnerable narcissism and Neuroticism were nearly identical (MrICC  = .94). Partial analyses demonstrated that the variance in vulnerable narcissism not shared with Neuroticism is largely specific to disagreeableness-related traits such as distrustfulness and grandiosity.   CONCLUSIONS These findings demonstrate the parsimony of using basic personality to study personality pathology and have implications for how vulnerable narcissism might be approached clinically.","",""
75,"Xiaoning Du, Bihuan Chen, Yuekang Li, Jianmin Guo, Yaqin Zhou, Yang Liu, Yu Jiang","LEOPARD: Identifying Vulnerable Code for Vulnerability Assessment Through Program Metrics",2019,"","","","",19,"2024-06-21 14:48:46","","10.1109/ICSE.2019.00024","","",,,,,75,15.00,11,7,5,"Identifying potentially vulnerable locations in a code base is critical as a pre-step for effective vulnerability assessment; i.e., it can greatly help security experts put their time and effort to where it is needed most. Metric-based and pattern-based methods have been presented for identifying vulnerable code. The former relies on machine learning and cannot work well due to the severe imbalance between non-vulnerable and vulnerable code or lack of features to characterize vulnerabilities. The latter needs the prior knowledge of known vulnerabilities and can only identify similar but not new types of vulnerabilities. In this paper, we propose and implement a generic, lightweight and extensible framework, LEOPARD, to identify potentially vulnerable functions through program metrics. LEOPARD requires no prior knowledge about known vulnerabilities. It has two steps by combining two sets of systematically derived metrics. First, it uses complexity metrics to group the functions in a target application into a set of bins. Then, it uses vulnerability metrics to rank the functions in each bin and identifies the top ones as potentially vulnerable. Our experimental results on 11 real-world projects have demonstrated that, LEOPARD can cover 74.0% of vulnerable functions by identifying 20% of functions as vulnerable and outperform machine learning-based and static analysis-based techniques. We further propose three applications of LEOPARD for manual code review and fuzzing, through which we discovered 22 new bugs in real applications like PHP, radare2 and FFmpeg, and eight of them are new vulnerabilities.","",""
118,"S. Sebo, Margaret Traeger, Malte F. Jung, B. Scassellati","The Ripple Effects of Vulnerability: The Effects of a Robot’s Vulnerable Behavior on Trust in Human-Robot Teams",2018,"","","","",20,"2024-06-21 14:48:46","","10.1145/3171221.3171275","","",,,,,118,19.67,30,4,6,"Successful teams are characterized by high levels of trust between team members, allowing the team to learn from mistakes, take risks, and entertain diverse ideas. We investigated a robot’s potential to shape trust within a team through the robot’s expressions of vulnerability. We conducted a between-subjects experiment (N = 35 teams, 105 participants) comparing the behavior of three human teammates collaborating with either a social robot making vulnerable statements or with a social robot making neutral statements. We found that, in a group with a robot making vulnerable statements, participants responded more to the robot’s comments and directed more of their gaze to the robot, displaying a higher level of engagement with the robot. Additionally, we discovered that during times of tension, human teammates in a group with a robot making vulnerable statements were more likely to explain their failure to the group, console team members who had made mistakes, and laugh together, all actions that reduce the amount of tension experienced by the team. These results suggest that a robot’s vulnerable behavior can have ""ripple effects"" on their human team members’ expressions of trust-related behavior.","",""
65,"Amy S. Katz, Billie-Jo Hardy, Michelle Firestone, Aisha Lofters, Melody Morton-Ninomiya","Vagueness, power and public health: use of ‘vulnerable‘ in public health literature",2019,"","","","",21,"2024-06-21 14:48:46","","10.1080/09581596.2019.1656800","","",,,,,65,13.00,13,5,5,"ABSTRACT The word ‘vulnerable’ is frequently used in public health research and practice. We use critical discourse analysis to explore the use of this term in articles published between January 2015 and January 2018 in the American Journal of Public Health and the Canadian Journal of Public Health. We find that terms such as ‘vulnerable groups’ are often vaguely defined or undefined, requiring the reader to ‘fill in the blanks’ as to who is vulnerable, why they are vulnerable, and what they are vulnerable to. Where terms such as ‘vulnerable groups’ are applied with some specificity, they are used as proxies for a wide range of groups, conditions and situations. Often, groups are constituted as inherently vulnerable, as authors imply that even if policies and processes change, group vulnerability will remain. Notably, populations and groups in power – and therefore responsible for generating structural vulnerability – are rarely examined. In our experience, researchers often use the word ‘vulnerable’ strategically to attract resources, policy interest and public concern. At the same time, we propose that the vagueness associated with terms such as ‘vulnerable’ conceals the structural nature of public health problems. We conclude that this vagueness can serve the political function of obscuring power relationships and limiting discussion of transformational change.","",""
96,"J. Bhatt, Priya Bathija","Ensuring Access to Quality Health Care in Vulnerable Communities",2018,"","","","",22,"2024-06-21 14:48:46","","10.1097/ACM.0000000000002254","","",,,,,96,16.00,48,2,6,"For millions of Americans living in vulnerable rural and urban communities, their hospital is an important, and often their only, source of health care. As transformation in the hospital and health care field continues, some communities may be at risk of losing access to health care services and the opportunities and resources they need to improve and maintain their health. Integrated, comprehensive strategies to reform health care delivery and payment, within which vulnerable communities can make individual choices based on their needs, support structures, and preferences, are needed. In this Invited Commentary, the authors outline characteristics and parameters of vulnerable communities as well as the essential health care services that hospitals should strive to maintain locally identified by the American Hospital Association Task Force on Ensuring Access in Vulnerable Communities. They also describe four of nine emerging strategies—recommended by the task force—to reform health care delivery and payment and allow hospitals to provide the essential health care services, along with implementation barriers and how to address them. While this Invited Commentary focuses on vulnerable communities, the four highlighted strategies (addressing the social determinants of health, adopting new and innovative virtual care strategies, designing global budgets, and using inpatient/outpatient transformation strategy), as well as the other five strategies, may have broader applicability for all communities.","",""
136,"I. Creed, C. Lane, J. Serran, L. Alexander, N. Basu, A. Calhoun, J. Christensen, M. Cohen, C. Craft, E. D’Amico, E. DeKeyser, L. Fowler, H. Golden, J. Jawitz, P. Kalla, L. Kirkman, M. Lang, S. Leibowitz, David Bruce Lewis, J. Marton, D. McLaughlin, Hadas Raanan-Kiperwas, M. Rains, K. C. Rains, Lora Smith","Enhancing protection for vulnerable waters.",2017,"","","","",23,"2024-06-21 14:48:46","","10.1038/ngeo3041","","",,,,,136,19.43,14,25,7,"","",""
